City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Bluff,NZ,2022-01-28 00:29:19,-46.6,168.3333,66.79,58,74,6.31
245,Lebu,CL,2022-01-28 00:24:10,-37.6167,-73.65,61.38,91,8,4.36
246,Albany,US,2022-01-28 00:26:27,42.6001,-73.9662,24.46,56,92,4.52
247,Dalian,CN,2022-01-28 00:31:17,38.9122,121.6022,22.93,54,0,4.47
248,Butaritari,KI,2022-01-28 00:31:17,3.0707,172.7902,82.31,77,2,15.68
249,Punta Arenas,CL,2022-01-28 00:21:21,-53.15,-70.9167,51.91,82,0,9.22
250,East London,ZA,2022-01-28 00:21:32,-33.0153,27.9116,73.42,91,13,15.84
251,Corinto,GR,2022-01-28 00:24:14,37.9407,22.9573,43.9,77,3,2.86
252,Klaksvik,FO,2022-01-28 00:24:14,62.2266,-6.589,41.92,73,96,18.37
253,Ushuaia,AR,2022-01-28 00:20:29,-54.8,-68.3,51.46,71,75,10.36
254,San Patricio,US,2022-01-28 00:24:14,28.017,-97.5169,62.69,70,100,9.15
255,Rikitea,PF,2022-01-28 00:24:15,-23.1203,-134.9692,78.73,75,84,17.45
256,Atuona,PF,2022-01-28 00:21:38,-9.8,-139.0333,78.24,77,3,17.36
257,Sept-Iles,CA,2022-01-28 00:23:13,50.2001,-66.3821,14.05,71,75,10.0
258,Dolinsk,RU,2022-01-28 00:24:15,47.35,142.8,-2.34,89,51,3.31
259,Mataura,NZ,2022-01-28 00:24:16,-46.1927,168.8643,66.47,30,53,1.39
260,Waitati,NZ,2022-01-28 00:24:16,-45.75,170.5667,62.8,61,31,5.64
261,Hobart,AU,2022-01-28 00:20:18,-42.8794,147.3294,86.02,56,75,1.99
262,Tasiilaq,GL,2022-01-28 00:23:55,65.6145,-37.6368,21.36,95,100,5.37
263,Tura,IN,2022-01-28 00:24:17,25.5198,90.2201,46.83,66,0,2.8
264,Farafangana,MG,2022-01-28 00:24:17,-22.8167,47.8333,73.51,76,62,4.34
265,Hasaki,JP,2022-01-28 00:24:18,35.7333,140.8333,41.4,58,100,6.78
266,Hermanus,ZA,2022-01-28 00:24:18,-34.4187,19.2345,65.8,80,12,2.93
267,Sao Jose Da Coroa Grande,BR,2022-01-28 00:24:19,-8.8978,-35.1478,78.55,81,86,5.7
268,Jacareacanga,BR,2022-01-28 00:24:19,-6.2222,-57.7528,73.06,98,81,2.39
269,Bambous Virieux,MU,2022-01-28 00:22:20,-20.3428,57.7575,73.65,83,40,5.75
270,Lazaro Cardenas,MX,2022-01-28 00:24:20,17.9583,-102.2,80.53,65,31,8.34
271,Chokurdakh,RU,2022-01-28 00:24:20,70.6333,147.9167,-23.84,92,75,10.38
272,Victoria,HK,2022-01-28 00:22:17,22.2855,114.1577,68.18,93,80,8.99
273,Jamestown,US,2022-01-28 00:21:28,42.097,-79.2353,25.09,62,100,5.01
274,Pevek,RU,2022-01-28 00:24:21,69.7008,170.3133,-27.45,99,29,3.4
275,Yarmouth,US,2022-01-28 00:20:10,41.7057,-70.2286,28.98,68,100,4.0
276,Port Elizabeth,ZA,2022-01-28 00:22:13,-33.918,25.5701,67.1,88,0,5.75
277,Camacha,PT,2022-01-28 00:24:21,33.0833,-16.3333,55.53,88,40,8.05
278,Kinna,SE,2022-01-28 00:24:22,57.5073,12.6946,42.44,67,99,11.65
279,Ormara,PK,2022-01-28 00:24:22,25.2088,64.6357,65.89,49,0,2.33
280,Esperance,AU,2022-01-28 00:23:21,-33.8667,121.9,66.79,64,46,11.48
281,Saint George,US,2022-01-28 00:22:35,37.1041,-113.5841,55.44,16,0,5.01
282,Barabinsk,RU,2022-01-28 00:25:22,55.3571,78.357,-8.34,100,92,6.11
283,Severo-Kurilsk,RU,2022-01-28 00:22:54,50.6789,156.125,24.89,86,95,37.47
284,Ponta Do Sol,PT,2022-01-28 00:22:47,32.6667,-17.1,59.0,76,50,4.92
285,Maragogi,BR,2022-01-28 00:21:55,-9.0122,-35.2225,78.48,81,89,5.68
286,Provideniya,RU,2022-01-28 00:23:58,64.3833,-173.3,-3.64,65,0,6.71
