City ID,City,Country,Date,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Description
229,Cairns,AU,2022-01-29 20:48:41,-16.9167,145.7667,75.11,75.15,94,75,9.22,broken clouds
230,Bastia,FR,2022-01-29 20:48:41,42.6667,9.3333,42.13,53.4,78,0,5.75,clear sky
231,Flin Flon,CA,2022-01-29 20:48:42,54.7682,-101.865,4.84,4.84,72,40,2.3,scattered clouds
232,Sterling,US,2022-01-29 20:48:25,39.0062,-77.4286,21.54,27.37,40,20,1.99,few clouds
233,Labuhan,ID,2022-01-29 20:48:42,-6.8844,112.2051,78.21,78.21,86,100,6.31,overcast clouds
234,Marathon,US,2022-01-29 20:48:42,44.9,-89.7668,19.72,24.04,65,75,9.22,broken clouds
235,Fuerte,PH,2022-01-29 20:48:43,17.5381,120.3644,76.6,76.6,87,86,7.11,overcast clouds
236,Fort Nelson,CA,2022-01-29 20:46:55,58.8053,-122.7002,8.19,8.19,85,100,9.22,light snow
237,Balkanabat,TM,2022-01-29 20:48:43,39.5108,54.3671,41.5,41.5,61,6,5.06,clear sky
238,La Ronge,CA,2022-01-29 20:48:44,55.1001,-105.2842,8.82,8.85,66,100,4.61,overcast clouds
239,Manokwari,ID,2022-01-29 20:48:44,-0.8667,134.0833,77.38,77.38,76,99,5.79,overcast clouds
